ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
214,MC-214-A2,Montipora capitata,Resistant,Ambient,A2,BACKUP,,Physiology & C13,
27,PC-27-A3,Porites compressa,Resistant,Ambient,A3,TP1,,Physiology & C13,
41,PC-41-A3,Porites compressa,Susceptible,Ambient,A3,TP1,,Physiology & C13,
214,MC-214-H1-pHi,Montipora capitata,Resistant,High,H1,TP2,,Intracellular pH,
214,MC-214-H1,Montipora capitata,Resistant,High,H1,TP2,,Physiology & C13,
214,MC-214-H2-pHi,Montipora capitata,Resistant,High,H2,BACKUP,,Intracellular pH,
214,MC-214-H2,Montipora capitata,Resistant,High,H2,BACKUP,,Physiology & C13,
44,PC-44-A3,Porites compressa,Resistant,Ambient,A3,TP1,,Physiology & C13,
233,PC-233-A3,Porites compressa,Susceptible,Ambient,A3,TP1,,Physiology & C13,
236,PC-236-A3,Porites compressa,Resistant,Ambient,A3,TP1,,Physiology & C13,
239,PC-239-A3,Porites compressa,Susceptible,Ambient,A3,TP1,,Physiology & C13,
221,MC-221-A2-pHi,Montipora capitata,Susceptible,Ambient,A2,TP2,,Intracellular pH,
221,MC-221-A2,Montipora capitata,Susceptible,Ambient,A2,TP2,,Physiology & C13,
221,MC-221-A3-pHi,Montipora capitata,Susceptible,Ambient,A3,BACKUP,,Intracellular pH,
221,MC-221-A3,Montipora capitata,Susceptible,Ambient,A3,BACKUP,,Physiology & C13,
247,PC-247-A3,Porites compressa,Susceptible,Ambient,A3,TP1,,Physiology & C13,
242,PC-242-A3,Porites compressa,Resistant,Ambient,A3,TP1,,Physiology & C13,
221,MC-221-H2-pHi,Montipora capitata,Susceptible,High,H2,TP2,,Intracellular pH,
221,MC-221-H2,Montipora capitata,Susceptible,High,H2,TP2,,Physiology & C13,
221,MC-221-H3-pHi,Montipora capitata,Susceptible,High,H3,BACKUP,,Intracellular pH,
221,MC-221-H3,Montipora capitata,Susceptible,High,H3,BACKUP,,Physiology & C13,
26,PC-26-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
26,PC-26-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
27,PC-27-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
27,PC-27-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
41,PC-41-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
41,PC-41-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
42,PC-42-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
42,PC-42-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
43,PC-43-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
43,PC-43-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
44,PC-44-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
44,PC-44-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
233,PC-233-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
233,PC-233-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
234,PC-234-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
234,PC-234-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
235,PC-235-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
235,PC-235-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
236,PC-236-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
236,PC-236-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
237,PC-237-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
237,PC-237-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
238,PC-238-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
238,PC-238-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
239,PC-239-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
239,PC-239-C12,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,C12 ,
240,PC-240-phys,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
240,PC-240-C12,Porites compressa,Resistant,Ambient,Outdoor,TP0,2026-05-07,C12 ,
243,PC-243-phys,Porites compressa,Susceptible,Ambient,Outdoor,TP0,2026-05-07,Physiology & C13,
